ts_ns,current_before,target_current,requested,current_after,rc
1787749853564011758,77321564160,77309411328,12152832,77307441152,0
1787749853591455214,77320024064,77309411328,10612736,77306916864,0
1787749853618381321,77319233536,77309411328,9822208,77305995264,0
1787749853644952531,77318578176,77309411328,9166848,77309288448,0
1787749853671779405,77321871360,77309411328,12460032,77308624896,0
1787749853699144060,77321207808,77309411328,11796480,77307248640,0
1787749853726840011,77320880128,77309411328,11468800,77307346944,0
1787749853753711596,77319925760,77309411328,10514432,77305532416,0
1787749853780331207,77318115328,77309411328,8704000,77309399040,0
1787749853807216253,77322244096,77309411328,12832768,77308002304,0
1787749853834515966,77320585216,77309411328,11173888,77307461632,0
1787749853862262368,77320044544,77309411328,10633216,77305987072,0
1787749853888954910,77318565888,77309411328,9154560,77309849600,0
1787749853915796415,77322166272,77309411328,12754944,77307944960,0
1787749853942639140,77321052160,77309411328,11640832,77307174912,0
1787749853969927183,77319757824,77309411328,10346496,77306216448,0
1787749853997345559,77318799360,77309411328,9388032,77309362176,0
1787749854024434748,77321424896,77309411328,12013568,77307564032,0
1787749854051503207,77319884800,77309411328,10473472,77306892288,0
1787749854078257271,77318426624,77309411328,9015296,77309579264,0
1787749854105927931,77321375744,77309411328,11964416,77308071936,0
1787749854133386457,77320388608,77309411328,10977280,77306822656,0
1787749854160151381,77318881280,77309411328,9469952,77305282560,0
1787749854186776942,77317861376,77309411328,8450048,77308260352,0
1787749854213976683,77322141696,77309411328,12730368,77307854848,0
1787749854241577162,77321486336,77309411328,12075008,77307166720,0
1787749854269164511,77320790016,77309411328,11378688,77307527168,0
1787749854295951645,77319839744,77309411328,10428416,77305872384,0
1787749854323121056,77319503872,77309411328,10092544,77305606144,0
1787749854350296977,77318971392,77309411328,9560064,77304946688,0
1787749854378013708,77319622656,77309411328,10211328,77305319424,0
1787749854404766212,77318418432,77309411328,9007104,77309628416,0
1787749854431502405,77321940992,77309411328,12529664,77307662336,0
1787749854458352310,77320507392,77309411328,11096064,77307269120,0
1787749854485430539,77320372224,77309411328,10960896,77306327040,0
1787749854512980497,77319933952,77309411328,10522624,77306904576,0
1787749854539740201,77319208960,77309411328,9797632,77305200640,0
1787749854566610906,77318832128,77309411328,9420800,77304688640,0
1787749854593115905,77317271552,77309411328,7860224,77307772928,0
1787749854620297516,77320355840,77309411328,10944512,77307260928,0
1787749854648084359,77319843840,77309411328,10432512,77306601472,0
1787749854674778411,77319180288,77309411328,9768960,77305081856,0
1787749854701432692,77317664768,77309411328,8253440,77308325888,0
1787749854728209746,77320908800,77309411328,11497472,77307535360,0
1787749854755233814,77320638464,77309411328,11227136,77306474496,0
1787749854782840583,77320105984,77309411328,10694656,77305819136,0
1787749854809649068,77319184384,77309411328,9773056,77305171968,0
1787749854836328320,77319065600,77309411328,9654272,77304958976,0
1787749854862839089,77318324224,77309411328,8912896,77309030400,0
1787749854889941678,77321875456,77309411328,12464128,77308968960,0
1787749854917511987,77322600448,77309411328,13189120,77308379136,0
1787749854944234610,77321465856,77309411328,12054528,77308649472,0
1787749854970871911,77322280960,77309411328,12869632,77308489728,0
1787749854997624884,77322117120,77309411328,12705792,77308092416,0
1787749855024756854,77321986048,77309411328,12574720,77308628992,0
1787749855052317973,77322256384,77309411328,12845056,77308465152,0
1787749855079285910,77322358784,77309411328,12947456,77308821504,0
1787749855105828609,77322448896,77309411328,13037568,77308370944,0
1787749855132647114,77322002432,77309411328,12591104,77308960768,0
1787749855159756934,77322592256,77309411328,13180928,77308510208,0
1787749855187490465,77322141696,77309411328,12730368,77309231104,0
1787749855214125096,77322596352,77309411328,13185024,77308588032,0
1787749855241085563,77322219520,77309411328,12808192,77309411328,0
1787749855267831167,77323038720,77309411328,13627392,77309014016,0
1787749855295476296,77322907648,77309411328,13496320,77309931520,0
1787749855323381911,77323825152,77309411328,14413824,77305262080,0
1787749855350019762,77318361088,77309411328,8949760,77309329408,0
1787749855376713845,77322698752,77309411328,13287424,77308968960,0
1787749855403512719,77322862592,77309411328,13451264,77309657088,0
1787749855431281441,77323550720,77309411328,14139392,77304823808,0
1787749855458701986,77318455296,77309411328,9043968,77309345792,0
1787749855485765655,77322448896,77309411328,13037568,77308452864,0
1787749855512615251,77321822208,77309411328,12410880,77307863040,0
1787749855540139498,77321494528,77309411328,12083200,77307076608,0
1787749855568056343,77320441856,77309411328,11030528,77306953728,0
1787749855595281955,77320060928,77309411328,10649600,77306212352,0
1787749855622216652,77318795264,77309411328,9383936,77304991744,0
1787749855649034346,77317574656,77309411328,8163328,77308538880,0
1787749855676456282,77320859648,77309411328,11448320,77307621376,0
1787749855704321936,77320466432,77309411328,11055104,77306458112,0
1787749855731099159,77318774784,77309411328,9363456,77309411328,0
1787749855758014216,77321199616,77309411328,11788288,77308190720,0
1787749855784840930,77319454720,77309411328,10043392,77305520128,0
1787749855811893799,77318090752,77309411328,8679424,77308620800,0
1787749855839720322,77321461760,77309411328,12050432,77308461056,0
1787749855866557807,77320777728,77309411328,11366400,77306851328,0
1787749855893364422,77319434240,77309411328,10022912,77306126336,0
1787749855920339579,77318709248,77309411328,9297920,77305110528,0
1787749855947439579,77317955584,77309411328,8544256,77308747776,0
1787749855975110029,77322117120,77309411328,12705792,77308223488,0
1787749856001952434,77320540160,77309411328,11128832,77306556416,0
1787749856029002793,77319139328,77309411328,9728000,77305376768,0
1787749856055845068,77318221824,77309411328,8810496,77309177856,0
1787749856083067830,77322022912,77309411328,12611584,77307998208,0
1787749856110714420,77320581120,77309411328,11169792,77306720256,0
1787749856137640616,77319036928,77309411328,9625600,77305204736,0
1787749856164201076,77317787648,77309411328,8376320,77308547072,0
1787749856191130122,77320867840,77309411328,11456512,77307117568,0
1787749856218327124,77319950336,77309411328,10539008,77306187776,0
1787749856245798580,77318504448,77309411328,9093120,77309558784,0
1787749856272751548,77320826880,77309411328,11415552,77307871232,0
1787749856299505561,77320192000,77309411328,10780672,77306724352,0
1787749856326654331,77319307264,77309411328,9895936,77305315328,0
1787749856353796372,77317632000,77309411328,8220672,77308981248,0
1787749856381210798,77321826304,77309411328,12414976,77308223488,0
1787749856408090923,77320806400,77309411328,11395072,77307109376,0
1787749856434958329,77319692288,77309411328,10280960,77305659392,0
1787749856461577860,77318242304,77309411328,8830976,77308968960,0
1787749856488771731,77321551872,77309411328,12140544,77308284928,0
1787749856516440221,77322178560,77309411328,12767232,77309956096,0
1787749856543667093,77322797056,77309411328,13385728,77306019840,0
1787749856570618120,77320171520,77309411328,10760192,77306896384,0
1787749856597611718,77319479296,77309411328,10067968,77307092992,0
1787749856625057944,77319675904,77309411328,10264576,77307240448,0
1787749856652857747,77321396224,77309411328,11984896,77309071360,0
1787749856679848184,77322424320,77309411328,13012992,77309886464,0
1787749856706870313,77322993664,77309411328,13582336,77306503168,0
1787749856734380000,77320126464,77309411328,10715136,77306626048,0
1787749856762405827,77319991296,77309411328,10579968,77307990016,0
1787749856789298813,77320306688,77309411328,10895360,77308149760,0
1787749856816116857,77320994816,77309411328,11583488,77308469248,0
1787749856842890361,77321310208,77309411328,11898880,77309120512,0
1787749856870445169,77323010048,77309411328,13598720,77305917440,0
1787749856898210901,77319811072,77309411328,10399744,77307904000,0
1787749856925019045,77321269248,77309411328,11857920,77308522496,0
1787749856951982883,77322678272,77309411328,13266944,77306245120,0
1787749856978837538,77320138752,77309411328,10727424,77307621376,0
1787749857006073200,77322039296,77309411328,12627968,77309358080,0
1787749857034575176,77324038144,77309411328,14626816,77307060224,0
1787749857061670595,77321736192,77309411328,12324864,77308997632,0
1787749857088680003,77322629120,77309411328,13217792,77306187776,0
1787749857115732322,77320081408,77309411328,10670080,77307498496,0
1787749857143008005,77320863744,77309411328,11452416,77307912192,0
1787749857170934710,77322592256,77309411328,13180928,77305618432,0
1787749857198005519,77319770112,77309411328,10358784,77307318272,0
1787749857224871665,77321469952,77309411328,12058624,77308788736,0
1787749857252050966,77322420224,77309411328,13008896,77306335232,0
1787749857279421711,77320228864,77309411328,10817536,77307412480,0
1787749857307145172,77321043968,77309411328,11632640,77309444096,0
1787749857334322653,77322809344,77309411328,13398016,77305745408,0
1787749857361242899,77319639040,77309411328,10227712,77306998784,0
1787749857388128055,77320630272,77309411328,11218944,77308932096,0
1787749857415725784,77322301440,77309411328,12890112,77305835520,0
1787749857443512316,77319729152,77309411328,10317824,77307932672,0
1787749857470490004,77321293824,77309411328,11882496,77308567552,0
1787749857497623334,77322461184,77309411328,13049856,77305847808,0
1787749857524858566,77318950912,77309411328,9539584,77307285504,0
1787749857552619258,77320916992,77309411328,11505664,77308039168,0
1787749857580304159,77321670656,77309411328,12259328,77309644800,0
1787749857607480160,77322481664,77309411328,13070336,77306556416,0
1787749857634439347,77319921664,77309411328,10510336,77307502592,0
1787749857661777021,77321134080,77309411328,11722752,77308420096,0
1787749857689609125,77322051584,77309411328,12640256,77306060800,0
1787749857717125562,77318905856,77309411328,9494528,77307273216,0
1787749857744168781,77319852032,77309411328,10440704,77307891712,0
1787749857771222189,77321261056,77309411328,11849728,77308821504,0
1787749857798786468,77322452992,77309411328,13041664,77305499648,0
1787749857826807604,77319393280,77309411328,9981952,77307629568,0
1787749857853851023,77320994816,77309411328,11583488,77308248064,0
1787749857880891502,77321879552,77309411328,12468224,77309624320,0
1787749857908190595,77323255808,77309411328,13844480,77306970112,0
1787749857935521639,77320597504,77309411328,11186176,77307785216,0
1787749857963535476,77322465280,77309411328,13053952,77305458688,0
1787749857990661086,77318823936,77309411328,9412608,77307060224,0
1787749858017725775,77320425472,77309411328,11014144,77307711488,0
1787749858044875056,77321605120,77309411328,12193792,77309087744,0
1787749858072478885,77323767808,77309411328,14356480,77306859520,0
1787749858100251787,77321277440,77309411328,11866112,77308837888,0
1787749858127665392,77322731520,77309411328,13320192,77306892288,0
1787749858154596519,77320257536,77309411328,10846208,77307707392,0
1787749858181524385,77321601024,77309411328,12189696,77309841408,0
1787749858209164975,77323472896,77309411328,14061568,77306662912,0
1787749858236877816,77321338880,77309411328,11927552,77308686336,0
1787749858264431734,77322305536,77309411328,12894208,77306478592,0
1787749858291882800,77320105984,77309411328,10694656,77307326464,0
1787749858319609042,77320957952,77309411328,11546624,77309202432,0
1787749858348223549,77322567680,77309411328,13156352,77306806272,0
1787749858376147604,77320962048,77309411328,11550720,77309087744,0
1787749858404056959,77322452992,77309411328,13041664,77306601472,0
